"Timestamp","Please indicate how you feel now","How old are you?","What is your gender?","Where do you live?","In which country do you live?","You are alone in a room and have 100 DKK on a table in front of you. You can give to charity as much as you want (the amount can be as low as 1 DKK). You can keep the rest. Would you donate to charity?","You are alone in a room and have 100 DKK on a table in front of you. You must donate some part of it. You can keep the rest. Please indicate how much you would DONATE.","You are alone in a room and have 4000 HUF on a table in front of you. You can give to charity as much as you want (the amount can be as low as 1 HUF). You can keep the rest. Would you donate to charity?","You are alone in a room and have 4000 HUF on a table in front of you. You must donate some part of it. You can keep the rest. Please indicate how much you would DONATE.","Please indicate how you feel now","To what extent do you trust that donations in real life arrive to where they should?","Did you notice the picture on top before seeing this question?","Are you filling in this questionnaire on a phone or computer?","How many people can you see if you look around? (Don't look out the windows!)"
"2018/05/01 8:04:07 pm EET","9","32","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","9","8","No","Phone","less than 5"
"2018/05/01 8:29:43 pm EET","4","34","Female","Denmark","","Yes","donate 10-30 DKK","","","6","8","No","Phone","I'm alone"
"2018/05/01 9:42:52 pm EET","7","21","Female","Hungary","","","","Yes","donate 1200-2000 HUF","7","7","Yes","Computer","I'm alone"
"2018/05/01 9:56:49 pm EET","5","22","Male","Denmark","","Yes","donate 30-50 DKK","","","5","2","Yes","Computer","I'm alone"
"2018/05/01 10:12:14 pm EET","7","33","Female","Denmark","","Yes","donate 30-50 DKK","","","7","5","No","Phone","less than 5"
"2018/05/01 10:28:20 pm EET","7","55","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","9","5","No","Other","I'm alone"
"2018/05/01 11:49:18 pm EET","8","22","Female","Denmark","","Yes","donate 30-50 DKK","","","8","7","No","Computer","I'm alone"
"2018/05/01 11:53:01 pm EET","5","23","Female","Denmark","","No","donate less than 10 DKK","","","5","1","No","Phone","I'm alone"
"2018/05/02 12:25:32 am EET","7","22","Male","Denmark","","No","donate 30-50 DKK","","","8","7","No","Computer","I'm alone"
"2018/05/02 12:33:47 am EET","7","25","Female","Other","Norway","Yes","donate 50-70 DKK","","","6","2","Yes","Phone","I'm alone"
"2018/05/02 12:40:43 am EET","5","28","Male","Denmark","","Yes","donate 100 DKK (donate all the money)","","","5","4","No","Phone","I'm alone"
"2018/05/02 12:40:49 am EET","3","28","Female","Denmark","","Yes","donate less than 10 DKK","","","4","7","No","Phone","I'm alone"
"2018/05/02 12:56:43 am EET","9","33","Male","Denmark","","No","donate less than 10 DKK","","","8","1","No","Phone","I'm alone"
"2018/05/02 1:20:00 am EET","10","20","Female","Denmark","","No","donate less than 10 DKK","","","10","5","No","Phone","I'm alone"
"2018/05/02 1:38:56 am EET","7","27","Female","Denmark","","Yes","donate less than 10 DKK","","","7","9","No","Phone","less than 5"
"2018/05/02 6:33:08 am EET","10","29","Female","Denmark","","Yes","donate 30-50 DKK","","","10","2","No","Phone","I'm alone"
"2018/05/02 6:36:00 am EET","7","25","Female","Denmark","","No","donate 10-30 DKK","","","7","4","No","Phone","less than 5"
"2018/05/02 6:36:13 am EET","7","25","Female","Denmark","","No","donate 10-30 DKK","","","7","4","No","Phone","less than 5"
"2018/05/02 6:57:37 am EET","6","20","Female","Denmark","","Yes","donate 10-30 DKK","","","6","5","No","Computer","I'm alone"
"2018/05/02 6:59:10 am EET","8","21","Female","Hungary","","","","Yes","donate 2000-2800 HUF","8","7","Yes","Computer","I'm alone"
"2018/05/02 7:01:07 am EET","7","31","Female","Denmark","","Yes","donate 50-70 DKK","","","7","7","Yes","Phone","I'm alone"
"2018/05/02 7:33:55 am EET","9","22","Female","Denmark","","Yes","donate 30-50 DKK","","","9","6","Yes","Phone","more than 5"
"2018/05/02 7:45:53 am EET","8","21","Other/ Prefer not to say","Denmark","","No","donate 50-70 DKK","","","8","7","No","Phone","I'm alone"
"2018/05/02 7:54:36 am EET","7","22","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","8","10","Yes","Phone","I'm alone"
"2018/05/02 8:43:56 am EET","2","41","Female","Other","Portugal","No","donate 100 DKK (donate all the money)","","","4","8","Yes","Phone","less than 5"
"2018/05/02 8:48:00 am EET","7","22","Female","Denmark","","No","donate 100 DKK (donate all the money)","","","7","6","Yes","Computer","I'm alone"
"2018/05/02 8:48:05 am EET","4","24","Male","Denmark","","No","donate 10-30 DKK","","","4","5","No","Phone","more than 5"
"2018/05/02 9:05:39 am EET","8","30","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","10","10","No","Phone","I'm alone"
"2018/05/02 9:41:41 am EET","5","26","Female","Denmark","","No","donate 10-30 DKK","","","5","4","Yes","Phone","more than 5"
"2018/05/02 10:49:52 am EET","4","28","Female","Denmark","","No","donate 10-30 DKK","","","4","5","No","Computer","less than 5"
"2018/05/02 11:37:14 am EET","8","20","Male","Denmark","","No","donate 30-50 DKK","","","8","8","Yes","Computer","I'm alone"
"2018/05/02 11:53:40 am EET","7","35","Female","Denmark","","Yes","donate less than 10 DKK","","","7","2","No","Computer","I'm alone"
"2018/05/02 11:55:31 am EET","8","31","Male","Denmark","","Yes","donate 10-30 DKK","","","8","3","Yes","Computer","less than 5"
"2018/05/02 12:05:47 pm EET","4","25","Female","Denmark","","Yes","donate 10-30 DKK","","","4","7","Yes","Computer","less than 5"
"2018/05/02 12:09:21 pm EET","7","23","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","8","3","No","Phone","I'm alone"
"2018/05/02 12:29:23 pm EET","4","31","Male","Denmark","","No","donate less than 10 DKK","","","4","8","Yes","Computer","less than 5"
"2018/05/02 2:26:06 pm EET","6","25","Female","Denmark","","Yes","donate 10-30 DKK","","","6","5","Yes","Phone","less than 5"
"2018/05/02 2:47:50 pm EET","5","24","Male","Denmark","","Yes","donate 100 DKK (donate all the money)","","","6","5","Yes","Phone","less than 5"
"2018/05/02 3:00:58 pm EET","8","35","Male","Denmark","","Yes","donate 10-30 DKK","","","8","6","Yes","Computer","I'm alone"
"2018/05/02 3:08:11 pm EET","2","27","Female","Denmark","","Yes","donate 10-30 DKK","","","2","6","Yes","Phone","I'm alone"
"2018/05/02 4:01:13 pm EET","7","22","Male","Denmark","","Yes","donate 30-50 DKK","","","7","4","Yes","Phone","more than 5"
"2018/05/02 4:27:13 pm EET","7","21","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","8","8","Yes","Computer","I'm alone"
"2018/05/02 4:36:54 pm EET","7","21","Female","Hungary","","","","Yes","donate 4000 HUF (donate all the money)","10","5","Yes","Phone","less than 5"
"2018/05/02 5:10:43 pm EET","8","22","Female","Denmark","","No","donate 10-30 DKK","","","8","3","Yes","Phone","I'm alone"
"2018/05/02 6:36:39 pm EET","4","19","Female","Denmark","","Yes","donate 30-50 DKK","","","7","4","Yes","Phone","I'm alone"
"2018/05/03 9:26:58 pm EET","7","34","Female","Denmark","","No","donate 10-30 DKK","","","5","3","No","Phone","I'm alone"
"2018/05/03 10:59:51 pm EET","5","25","Female","Other","Germany","Yes","donate 50-70 DKK","","","6","5","Yes","Computer","I'm alone"
"2018/05/04 3:14:21 pm EET","4","23","Female","Denmark","","No","donate less than 10 DKK","","","4","4","Yes","Computer","I'm alone"
"2018/05/04 9:16:58 pm EET","3","20","Female","Denmark","","No","donate less than 10 DKK","","","3","3","Yes","Computer","I'm alone"
"2018/05/05 11:36:34 am EET","9","21","Female","Denmark","","No","donate less than 10 DKK","","","8","5","Yes","Computer","less than 5"
"2018/05/05 3:03:42 pm EET","7","21","Female","Denmark","","Yes","donate 30-50 DKK","","","7","9","No","Phone","I'm alone"
"2018/05/05 6:23:21 pm EET","7","22","Male","Denmark","","No","donate less than 10 DKK","","","7","1","Yes","Phone","less than 5"
"2018/05/05 7:41:07 pm EET","6","20","Male","Hungary","","","","Yes","donate 1200-2000 HUF","7","4","Yes","Computer","less than 5"
"2018/05/09 10:34:23 pm EET","7","20","Other/ Prefer not to say","Other","Estonia","Yes","donate 100 DKK (donate all the money)","","","7","6","No","Phone","I'm alone"
"2018/05/12 9:37:26 am EET","7","19","Female","Hungary","","","","Yes","donate 400-1200 HUF","7","6","Yes","Phone","I'm alone"
